TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF236728-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF236728;Delabli - 366-373 ml V2;Banderole ronde pot;266,23;78,6;1;0
MF236728-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236728;Delabli - 366-373 ml V2;Banderole ronde pot;266,23;78,6;1;1
MF236728-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF236728;Delabli - 366-373 ml V2;Banderole ronde pot;266,23;78,6;0;0
MF236728-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236728;Delabli - 366-373 ml V2;Banderole ronde pot;266,23;78,6;0;1
MF236742-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;29;MF236742;JSP 1415 - rev03;Banderole ronde pot;260,59;97,89;1;0
MF236742-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF236742;JSP 1415 - rev03;Banderole ronde pot;260,59;97,89;1;1
MF236742-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;31;MF236742;JSP 1415 - rev03;Banderole ronde pot;260,59;97,89;0;0
MF236742-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF236742;JSP 1415 - rev03;Banderole ronde pot;260,59;97,89;0;1
MF236774-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF236774;Delabli - 364-315 ml V2;Banderole ronde pot;266,52;64,87;1;0
MF236774-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236774;Delabli - 364-315 ml V2;Banderole ronde pot;266,52;64,87;1;1
MF236774-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF236774;Delabli - 364-315 ml V2;Banderole ronde pot;266,52;64,87;0;0
MF236774-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236774;Delabli - 364-315 ml V2;Banderole ronde pot;266,52;64,87;0;1
MF236798-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF236798;RA 120-270;Driezijdig;135,55;94,68;1;0
MF236798-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF236798;RA 120-270;Driezijdig;135,55;94,68;1;1
MF236798-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF236798;RA 120-270;Driezijdig;135,55;94,68;0;0
MF236798-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF236798;RA 120-270;Driezijdig;135,55;94,68;0;1
MF236815-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF236815;Molochnaya Kultura - Proj 004048 - symmetrisch by DV;Banderole diverse;130,56;85;1;0
MF236815-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF236815;Molochnaya Kultura - Proj 004048 - symmetrisch by DV;Banderole diverse;130,56;85;1;1
MF236815-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF236815;Molochnaya Kultura - Proj 004048 - symmetrisch by DV;Banderole diverse;130,56;85;0;0
MF236815-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF236815;Molochnaya Kultura - Proj 004048 - symmetrisch by DV;Banderole diverse;130,56;85;0;1
MF236859-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF236859;Pot 029B - aangepast DV;Banderole ronde pot;248;67,81;1;0
MF236859-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236859;Pot 029B - aangepast DV;Banderole ronde pot;248;67,81;1;1
MF236859-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF236859;Pot 029B - aangepast DV;Banderole ronde pot;248;67,81;0;0
MF236859-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF236859;Pot 029B - aangepast DV;Banderole ronde pot;248;67,81;0;1
MF83933-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF83933;INLEGBLAD 250/500G;Deksel diverse;140;91,35;1;0
MF83933-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF83933;INLEGBLAD 250/500G;Deksel diverse;140;91,35;1;1
MF83933-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF83933;INLEGBLAD 250/500G;Deksel diverse;140;91,35;0;0
MF83933-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF83933;INLEGBLAD 250/500G;Deksel diverse;140;91,35;0;1
MF84108-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF84108;ERU BEKER 100GR;Vijfzijdig;122,5;122,5;1;0
MF84108-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF84108;ERU BEKER 100GR;Vijfzijdig;122,5;122,5;1;1
MF84108-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF84108;ERU BEKER 100GR;Vijfzijdig;122,5;122,5;0;0
MF84108-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF84108;ERU BEKER 100GR;Vijfzijdig;122,5;122,5;0;1
MF84556-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84556;2,5Lt LID - ST1475 / Primo Bottom V2 + BG 7mm;Deksel rond;153;153;1;0
MF84556-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84556;2,5Lt LID - ST1475 / Primo Bottom V2 + BG 7mm;Deksel rond;153;153;1;1
MF84556-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84556;2,5Lt LID - ST1475 / Primo Bottom V2 + BG 7mm;Deksel rond;153;153;0;0
MF84556-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84556;2,5Lt LID - ST1475 / Primo Bottom V2 + BG 7mm;Deksel rond;153;153;0;1
MF84744-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84744;2L DOUBLE;Veelhoek/Trapezium/...;130,1;108,75;1;0
MF84744-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84744;2L DOUBLE;Veelhoek/Trapezium/...;130,1;108,75;1;1
MF84744-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84744;2L DOUBLE;Veelhoek/Trapezium/...;130,1;108,75;0;0
MF84744-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF84744;2L DOUBLE;Veelhoek/Trapezium/...;130,1;108,75;0;1
MF85090-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85090;ET.531 - kruidenboter deksel (MM);Deksel rechthoekig;76;76;1;0
MF85090-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85090;ET.531 - kruidenboter deksel (MM);Deksel rechthoekig;76;76;1;1
MF85090-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85090;ET.531 - kruidenboter deksel (MM);Deksel rechthoekig;76;76;0;0
MF85090-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85090;ET.531 - kruidenboter deksel (MM);Deksel rechthoekig;76;76;0;1
MF85228-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF85228;Rect flat Lid Unilever;Deksel rechthoekig;180,5;117,2;1;0
MF85228-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF85228;Rect flat Lid Unilever;Deksel rechthoekig;180,5;117,2;1;1
MF85228-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF85228;Rect flat Lid Unilever;Deksel rechthoekig;180,5;117,2;0;0
MF85228-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF85228;Rect flat Lid Unilever;Deksel rechthoekig;180,5;117,2;0;1
MF85555-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85555;EB 500ML;Deksel rechthoekig;72;72;1;0
MF85555-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85555;EB 500ML;Deksel rechthoekig;72;72;1;1
MF85555-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85555;EB 500ML;Deksel rechthoekig;72;72;0;0
MF85555-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF85555;EB 500ML;Deksel rechthoekig;72;72;0;1
MF85684-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF85684;Slankie Lid 100g;Deksel rechthoekig;63,29;63,29;1;0
MF85684-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF85684;Slankie Lid 100g;Deksel rechthoekig;63,29;63,29;1;1
MF85684-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF85684;Slankie Lid 100g;Deksel rechthoekig;63,29;63,29;0;0
MF85684-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF85684;Slankie Lid 100g;Deksel rechthoekig;63,29;63,29;0;1
MF85904-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF85904;ODS 177 PP wit / Ø155mm - DZE 3-3800;Deksel rond;155;155;1;0
MF85904-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF85904;ODS 177 PP wit / Ø155mm - DZE 3-3800;Deksel rond;155;155;1;1
MF85904-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF85904;ODS 177 PP wit / Ø155mm - DZE 3-3800;Deksel rond;155;155;0;0
MF85904-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF85904;ODS 177 PP wit / Ø155mm - DZE 3-3800;Deksel rond;155;155;0;1
MF85934-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF85934;2584 = K50058;Deksel ovaal;180,67;140,01;1;0
MF85934-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF85934;2584 = K50058;Deksel ovaal;180,67;140,01;1;1
MF85934-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF85934;2584 = K50058;Deksel ovaal;180,67;140,01;0;0
MF85934-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF85934;2584 = K50058;Deksel ovaal;180,67;140,01;0;1
MF86460-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF86460;TP 69 - BODEM / L77 58mm dia;Deksel rond;57;57;1;0
MF86460-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF86460;TP 69 - BODEM / L77 58mm dia;Deksel rond;57;57;1;1
MF86460-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF86460;TP 69 - BODEM / L77 58mm dia;Deksel rond;57;57;0;0
MF86460-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF86460;TP 69 - BODEM / L77 58mm dia;Deksel rond;57;57;0;1
MF86793-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86793;Deksel rond - Ø89mm;Deksel rond;89;89;1;0
MF86793-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86793;Deksel rond - Ø89mm;Deksel rond;89;89;1;1
MF86793-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86793;Deksel rond - Ø89mm;Deksel rond;89;89;0;0
MF86793-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86793;Deksel rond - Ø89mm;Deksel rond;89;89;0;1
MF86821-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86821;2810 lid - 118 bodem - Windmolen - 8574;Deksel rond;80,33;80,33;1;0
MF86821-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86821;2810 lid - 118 bodem - Windmolen - 8574;Deksel rond;80,33;80,33;1;1
MF86821-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86821;2810 lid - 118 bodem - Windmolen - 8574;Deksel rond;80,33;80,33;0;0
MF86821-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86821;2810 lid - 118 bodem - Windmolen - 8574;Deksel rond;80,33;80,33;0;1
MF86835-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86835;2820 - 118LID;Deksel rond;102,35;102,35;1;0
MF86835-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86835;2820 - 118LID;Deksel rond;102,35;102,35;1;1
MF86835-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86835;2820 - 118LID;Deksel rond;102,35;102,35;0;0
MF86835-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86835;2820 - 118LID;Deksel rond;102,35;102,35;0;1
MF86845-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86845;MF86845 - 5020;Banderole ronde pot;335,2;52;1;0
MF86845-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86845;MF86845 - 5020;Banderole ronde pot;335,2;52;1;1
MF86845-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86845;MF86845 - 5020;Banderole ronde pot;335,2;52;0;0
MF86845-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86845;MF86845 - 5020;Banderole ronde pot;335,2;52;0;1
MF86853-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86853;1003;Deksel rechthoekig;87;63;1;0
MF86853-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86853;1003;Deksel rechthoekig;87;63;1;1
MF86853-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86853;1003;Deksel rechthoekig;87;63;0;0
MF86853-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF86853;1003;Deksel rechthoekig;87;63;0;1
MF86862-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86862;5030 BASE;Banderole ronde pot;380,5;89,87;1;0
MF86862-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86862;5030 BASE;Banderole ronde pot;380,5;89,87;1;1
MF86862-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86862;5030 BASE;Banderole ronde pot;380,5;89,87;0;0
MF86862-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF86862;5030 BASE;Banderole ronde pot;380,5;89,87;0;1
MF86906-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86906;MF86906;Deksel ovaal;121,34;84,38;1;0
MF86906-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86906;MF86906;Deksel ovaal;121,34;84,38;1;1
MF86906-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86906;MF86906;Deksel ovaal;121,34;84,38;0;0
MF86906-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF86906;MF86906;Deksel ovaal;121,34;84,38;0;1
MF87037-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87037;RSE 129 LID;Deksel ovaal;118,47;80,57;1;0
MF87037-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87037;RSE 129 LID;Deksel ovaal;118,47;80,57;1;1
MF87037-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87037;RSE 129 LID;Deksel ovaal;118,47;80,57;0;0
MF87037-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87037;RSE 129 LID;Deksel ovaal;118,47;80,57;0;1
MF87119-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87119;1013;Deksel rechthoekig;114,2;91,8;1;0
MF87119-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87119;1013;Deksel rechthoekig;114,2;91,8;1;1
MF87119-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87119;1013;Deksel rechthoekig;114,2;91,8;0;0
MF87119-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87119;1013;Deksel rechthoekig;114,2;91,8;0;1
MF87249-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87249;LID 1L - 2830;Deksel rond;117,55;117,55;1;0
MF87249-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87249;LID 1L - 2830;Deksel rond;117,55;117,55;1;1
MF87249-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87249;LID 1L - 2830;Deksel rond;117,55;117,55;0;0
MF87249-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF87249;LID 1L - 2830;Deksel rond;117,55;117,55;0;1
MF87271-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF87271;2598;Veelhoek/Trapezium/...;130;130;1;0
MF87271-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF87271;2598;Veelhoek/Trapezium/...;130;130;1;1
MF87271-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF87271;2598;Veelhoek/Trapezium/...;130;130;0;0
MF87271-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF87271;2598;Veelhoek/Trapezium/...;130;130;0;1
MF87478-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;17;MF87478;2540 LID;Deksel rechthoekig;172;172;1;0
MF87478-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF87478;2540 LID;Deksel rechthoekig;172;172;1;1
MF87478-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;19;MF87478;2540 LID;Deksel rechthoekig;172;172;0;0
MF87478-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF87478;2540 LID;Deksel rechthoekig;172;172;0;1
MF87581-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF87581;5031 EUH;Banderole ronde pot;381,64;114;1;0
MF87581-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF87581;5031 EUH;Banderole ronde pot;381,64;114;1;1
MF87581-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF87581;5031 EUH;Banderole ronde pot;381,64;114;0;0
MF87581-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF87581;5031 EUH;Banderole ronde pot;381,64;114;0;1
MF87705-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF87705;2530/ 2532 LID;Deksel ovaal;177,99;114;1;0
MF87705-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF87705;2530/ 2532 LID;Deksel ovaal;177,99;114;1;1
MF87705-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF87705;2530/ 2532 LID;Deksel ovaal;177,99;114;0;0
MF87705-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF87705;2530/ 2532 LID;Deksel ovaal;177,99;114;0;1
MF87978-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF87978;Lid 5L UNILEVER;Veelhoek/Trapezium/...;309,54;119,18;1;0
MF87978-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF87978;Lid 5L UNILEVER;Veelhoek/Trapezium/...;309,54;119,18;1;1
MF87978-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF87978;Lid 5L UNILEVER;Veelhoek/Trapezium/...;309,54;119,18;0;0
MF87978-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF87978;Lid 5L UNILEVER;Veelhoek/Trapezium/...;309,54;119,18;0;1
MF88137-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF88137;BQ 250G GIG 1;Driezijdig;152;98,27;1;0
MF88137-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF88137;BQ 250G GIG 1;Driezijdig;152;98,27;1;1
MF88137-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF88137;BQ 250G GIG 1;Driezijdig;152;98,27;0;0
MF88137-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;4;MF88137;BQ 250G GIG 1;Driezijdig;152;98,27;0;1
MF88170-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88170;deksel 2.5L;Deksel rechthoekig;135,2;113,2;1;0
MF88170-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88170;deksel 2.5L;Deksel rechthoekig;135,2;113,2;1;1
MF88170-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88170;deksel 2.5L;Deksel rechthoekig;135,2;113,2;0;0
MF88170-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88170;deksel 2.5L;Deksel rechthoekig;135,2;113,2;0;1
MF88255-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88255;Bonduelle;Deksel ovaal;139,56;109,11;1;0
MF88255-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88255;Bonduelle;Deksel ovaal;139,56;109,11;1;1
MF88255-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88255;Bonduelle;Deksel ovaal;139,56;109,11;0;0
MF88255-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF88255;Bonduelle;Deksel ovaal;139,56;109,11;0;1
MF88799-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;29;MF88799;5012 BASE - Wetteren;Banderole ronde pot;265,5;98;1;0
MF88799-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF88799;5012 BASE - Wetteren;Banderole ronde pot;265,5;98;1;1
MF88799-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;31;MF88799;5012 BASE - Wetteren;Banderole ronde pot;265,5;98;0;0
MF88799-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;27;MF88799;5012 BASE - Wetteren;Banderole ronde pot;265,5;98;0;1
MF89056-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89056;ET.534 -  Rjoma Ostur Deksel (MM);Deksel ovaal;75,92;62,92;1;0
MF89056-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89056;ET.534 -  Rjoma Ostur Deksel (MM);Deksel ovaal;75,92;62,92;1;1
MF89056-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89056;ET.534 -  Rjoma Ostur Deksel (MM);Deksel ovaal;75,92;62,92;0;0
MF89056-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89056;ET.534 -  Rjoma Ostur Deksel (MM);Deksel ovaal;75,92;62,92;0;1
MF89239-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89239;2920;Deksel rond;93,28;93,28;1;0
MF89239-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89239;2920;Deksel rond;93,28;93,28;1;1
MF89239-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89239;2920;Deksel rond;93,28;93,28;0;0
MF89239-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89239;2920;Deksel rond;93,28;93,28;0;1
MF89560-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF89560;2520 LID & 158 Deckel Kühlmann;Deksel rechthoekig;113,5;113,5;1;0
MF89560-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF89560;2520 LID & 158 Deckel Kühlmann;Deksel rechthoekig;113,5;113,5;1;1
MF89560-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF89560;2520 LID & 158 Deckel Kühlmann;Deksel rechthoekig;113,5;113,5;0;0
MF89560-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF89560;2520 LID & 158 Deckel Kühlmann;Deksel rechthoekig;113,5;113,5;0;1
MF89562-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF89562;2550 LID OVAL;Deksel ovaal;177,6;110,45;1;0
MF89562-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF89562;2550 LID OVAL;Deksel ovaal;177,6;110,45;1;1
MF89562-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF89562;2550 LID OVAL;Deksel ovaal;177,6;110,45;0;0
MF89562-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF89562;2550 LID OVAL;Deksel ovaal;177,6;110,45;0;1
MF89572-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89572;MF89572;Deksel rond;99;99;1;0
MF89572-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89572;MF89572;Deksel rond;99;99;1;1
MF89572-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89572;MF89572;Deksel rond;99;99;0;0
MF89572-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF89572;MF89572;Deksel rond;99;99;0;1
MF89586-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF89586;RSE 129-350 CUP;Vijfzijdig;185,33;145,61;1;0
MF89586-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF89586;RSE 129-350 CUP;Vijfzijdig;185,33;145,61;1;1
MF89586-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF89586;RSE 129-350 CUP;Vijfzijdig;185,33;145,61;0;0
MF89586-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF89586;RSE 129-350 CUP;Vijfzijdig;185,33;145,61;0;1
